index,city,city_development_index,gender,relevent_experience,enrolled_university,education_level,major_discipline,experience,company_size,company_type,last_new_job,training_hours
6428,city_136,0.897,,Has relevent experience,no_enrollment,Masters,STEM,>20,10000+,Pvt Ltd,>4,64
2844,city_21,0.624,,Has relevent experience,Part time course,Phd,Other,4,50-99,Pvt Ltd,,8
10741,city_114,0.926,Male,Has relevent experience,no_enrollment,Phd,STEM,>20,10000+,Pvt Ltd,4,25
19031,city_21,0.624,Male,Has relevent experience,no_enrollment,Graduate,Business Degree,14,<10,Pvt Ltd,1,87
249,city_160,0.92,Male,Has relevent experience,no_enrollment,Graduate,STEM,9,50-99,Pvt Ltd,3,44
1957,city_103,0.92,Male,Has relevent experience,no_enrollment,Graduate,STEM,16,10000+,Pvt Ltd,1,48
17264,city_165,0.903,,No relevent experience,no_enrollment,,,6,,,never,56
16045,city_21,0.624,,Has relevent experience,no_enrollment,Masters,STEM,8,500-999,Pvt Ltd,1,23
8369,city_67,0.855,Male,Has relevent experience,Full time course,Graduate,STEM,4,100-500,Pvt Ltd,2,66
4244,city_116,0.743,Male,Has relevent experience,no_enrollment,Graduate,Humanities,7,,,4,166
18079,city_114,0.926,Male,Has relevent experience,no_enrollment,Masters,STEM,8,50-99,Pvt Ltd,2,70
12139,city_114,0.926,Male,Has relevent experience,no_enrollment,Masters,STEM,>20,100-500,Pvt Ltd,never,250
13036,city_100,0.887,Male,No relevent experience,Full time course,Graduate,STEM,4,,,never,22
12205,city_165,0.903,Male,Has relevent experience,no_enrollment,Graduate,STEM,14,10000+,Pvt Ltd,3,40
9481,city_16,0.91,Male,Has relevent experience,no_enrollment,Graduate,STEM,17,10000+,Pvt Ltd,>4,31
17489,city_16,0.91,Male,No relevent experience,no_enrollment,Phd,STEM,>20,500-999,Public Sector,>4,27
16808,city_84,0.698,Male,Has relevent experience,no_enrollment,Graduate,STEM,>20,10/49,Pvt Ltd,>4,86
1730,city_103,0.92,Male,Has relevent experience,Part time course,Masters,Business Degree,11,10000+,Public Sector,3,60
16968,city_103,0.92,Male,No relevent experience,no_enrollment,Primary School,,1,,Pvt Ltd,never,57
18171,city_83,0.923,Male,Has relevent experience,no_enrollment,Masters,STEM,16,50-99,Pvt Ltd,1,96
11952,city_21,0.624,Male,Has relevent experience,,Masters,STEM,5,,,2,52
12681,city_21,0.624,Male,Has relevent experience,no_enrollment,Graduate,STEM,3,500-999,Pvt Ltd,1,20
18792,city_73,0.754,,Has relevent experience,no_enrollment,Graduate,STEM,>20,,Public Sector,4,22
16041,city_98,0.949,,Has relevent experience,no_enrollment,Masters,STEM,9,1000-4999,Public Sector,1,50
1670,city_46,0.762,,Has relevent experience,,Graduate,STEM,7,,,never,35
16582,city_65,0.802,Male,Has relevent experience,Part time course,Graduate,STEM,10,10000+,Pvt Ltd,1,22
11628,city_61,0.913,Male,Has relevent experience,no_enrollment,Graduate,STEM,11,50-99,Pvt Ltd,1,17
2429,city_160,0.92,Male,Has relevent experience,no_enrollment,Graduate,STEM,>20,100-500,Pvt Ltd,>4,55
690,city_21,0.624,Male,No relevent experience,Full time course,High School,,5,,Pvt Ltd,never,6
6102,city_21,0.624,Male,Has relevent experience,Full time course,Graduate,STEM,6,100-500,Pvt Ltd,2,20
5723,city_1,0.847,Male,No relevent experience,Full time course,Graduate,STEM,11,,,3,194
19096,city_173,0.878,Male,Has relevent experience,no_enrollment,High School,,6,10000+,Pvt Ltd,1,144
674,city_103,0.92,Male,No relevent experience,no_enrollment,Masters,STEM,6,1000-4999,Public Sector,1,106
9123,city_23,0.899,Male,Has relevent experience,Part time course,Graduate,STEM,4,10/49,Pvt Ltd,1,92
15054,city_103,0.92,Male,Has relevent experience,no_enrollment,Graduate,STEM,>20,10000+,Pvt Ltd,3,71
5778,city_64,0.6659999999999999,Male,Has relevent experience,Full time course,Graduate,STEM,14,10000+,Pvt Ltd,3,258
13116,city_21,0.624,Male,Has relevent experience,no_enrollment,Masters,STEM,9,100-500,Pvt Ltd,>4,96
17635,city_114,0.926,Male,Has relevent experience,no_enrollment,Masters,STEM,16,,,1,50
12731,city_160,0.92,,No relevent experience,Full time course,High School,,6,,,1,20
11697,city_16,0.91,Male,Has relevent experience,no_enrollment,Graduate,STEM,6,10000+,Pvt Ltd,1,3
6749,city_103,0.92,Male,Has relevent experience,no_enrollment,Graduate,Business Degree,19,10000+,Pvt Ltd,2,91
1010,city_136,0.897,Male,Has relevent experience,no_enrollment,Masters,STEM,>20,,,1,90
15406,city_173,0.878,Male,No relevent experience,Full time course,Graduate,STEM,4,,Public Sector,1,124
10781,city_61,0.913,,Has relevent experience,no_enrollment,Graduate,STEM,12,50-99,Pvt Ltd,>4,11
3490,city_173,0.878,Male,Has relevent experience,no_enrollment,Masters,STEM,>20,5000-9999,Pvt Ltd,>4,44
1236,city_21,0.624,,Has relevent experience,no_enrollment,Masters,STEM,7,10000+,Pvt Ltd,1,34
3218,city_173,0.878,Male,No relevent experience,,,,6,,,1,60
2938,city_48,0.493,Male,Has relevent experience,no_enrollment,High School,,4,,,1,105
323,city_103,0.92,,Has relevent experience,no_enrollment,Graduate,STEM,15,10000+,Pvt Ltd,>4,16
15583,city_99,0.915,Male,Has relevent experience,no_enrollment,High School,,2,,,1,39
7772,city_16,0.91,Male,Has relevent experience,no_enrollment,Graduate,STEM,>20,1000-4999,Pvt Ltd,2,27
8118,city_102,0.804,Male,Has relevent experience,no_enrollment,Masters,STEM,>20,,,>4,54
1062,city_54,0.856,Female,Has relevent experience,no_enrollment,Masters,STEM,12,50-99,Funded Startup,1,162
13811,city_136,0.897,Male,Has relevent experience,no_enrollment,Masters,No Major,>20,100-500,Pvt Ltd,>4,116
8475,city_19,0.682,,Has relevent experience,no_enrollment,Graduate,STEM,3,50-99,Public Sector,2,140
4829,city_21,0.624,,Has relevent experience,Full time course,Graduate,STEM,8,1000-4999,Pvt Ltd,4,103
707,city_144,0.84,Male,Has relevent experience,Full time course,Graduate,STEM,9,10/49,Other,1,34
13014,city_23,0.899,,Has relevent experience,Part time course,High School,,11,50-99,Funded Startup,1,22
1482,city_103,0.92,Male,Has relevent experience,no_enrollment,Graduate,STEM,19,1000-4999,Pvt Ltd,1,13
12550,city_64,0.6659999999999999,,Has relevent experience,no_enrollment,Graduate,STEM,6,50-99,,1,36
4768,city_65,0.802,Male,Has relevent experience,no_enrollment,Graduate,STEM,11,<10,Pvt Ltd,2,26
14835,city_103,0.92,Male,Has relevent experience,no_enrollment,Graduate,Humanities,3,50-99,Funded Startup,1,106
12305,city_16,0.91,Male,No relevent experience,no_enrollment,High School,,<1,,,2,39
19120,city_21,0.624,,No relevent experience,,Graduate,STEM,4,10/49,Pvt Ltd,2,14
17298,city_136,0.897,Male,Has relevent experience,Part time course,Masters,STEM,6,50-99,Pvt Ltd,4,16
6405,city_41,0.8270000000000001,,Has relevent experience,Part time course,Masters,,18,10000+,Pvt Ltd,>4,49
17012,city_16,0.91,,No relevent experience,no_enrollment,High School,,>20,,,>4,26
14520,city_103,0.92,,Has relevent experience,no_enrollment,Masters,Other,>20,,,>4,90
17627,city_16,0.91,Male,Has relevent experience,no_enrollment,Graduate,No Major,>20,,,1,95
10216,city_114,0.926,Male,Has relevent experience,no_enrollment,Graduate,Humanities,>20,<10,Pvt Ltd,>4,14
13644,city_103,0.92,Male,Has relevent experience,no_enrollment,Masters,STEM,>20,,,2,156
7021,city_64,0.6659999999999999,Male,Has relevent experience,no_enrollment,Graduate,STEM,2,5000-9999,Pvt Ltd,1,124
17278,city_11,0.55,,Has relevent experience,no_enrollment,Masters,STEM,2,<10,,1,36
7436,city_21,0.624,Male,Has relevent experience,no_enrollment,Graduate,STEM,9,50-99,Funded Startup,never,23
4649,city_103,0.92,Male,No relevent experience,no_enrollment,High School,,4,,,never,21
7413,city_160,0.92,Male,Has relevent experience,no_enrollment,Graduate,STEM,9,100-500,Pvt Ltd,2,66
6984,city_114,0.926,Male,Has relevent experience,no_enrollment,Masters,STEM,11,1000-4999,Public Sector,1,22
8072,city_21,0.624,Male,Has relevent experience,no_enrollment,Masters,STEM,4,10/49,Pvt Ltd,2,13
10740,city_10,0.895,Male,Has relevent experience,no_enrollment,Masters,Humanities,15,500-999,Pvt Ltd,1,192
5106,city_21,0.624,,Has relevent experience,no_enrollment,Graduate,STEM,1,50-99,Pvt Ltd,,21
11413,city_21,0.624,Male,No relevent experience,no_enrollment,Graduate,STEM,<1,10000+,Pvt Ltd,1,25
10330,city_11,0.55,Male,No relevent experience,Full time course,Graduate,Humanities,<1,,,never,43
5798,city_123,0.738,Male,No relevent experience,Full time course,Masters,Other,4,,Pvt Ltd,never,68
2141,city_103,0.92,,Has relevent experience,no_enrollment,Graduate,STEM,4,100-500,Pvt Ltd,1,27
19099,city_16,0.91,Male,Has relevent experience,no_enrollment,Graduate,STEM,12,50-99,Pvt Ltd,1,135
9807,city_114,0.926,Male,Has relevent experience,no_enrollment,Graduate,STEM,>20,,,>4,70
16443,city_16,0.91,,Has relevent experience,no_enrollment,Graduate,STEM,>20,50-99,Pvt Ltd,1,54
18580,city_36,0.893,,Has relevent experience,no_enrollment,Masters,STEM,15,50-99,Funded Startup,1,45
14761,city_98,0.949,Male,No relevent experience,Full time course,Graduate,STEM,6,,,1,13
11060,city_114,0.926,Male,Has relevent experience,no_enrollment,Masters,STEM,13,100-500,,2,96
8978,city_73,0.754,Male,Has relevent experience,no_enrollment,Masters,STEM,16,50-99,Pvt Ltd,1,12
2850,city_103,0.92,Male,Has relevent experience,no_enrollment,Masters,STEM,10,50-99,Pvt Ltd,1,72
13101,city_114,0.926,,No relevent experience,no_enrollment,Primary School,,1,,,never,57
4600,city_104,0.924,Male,No relevent experience,no_enrollment,Masters,STEM,11,100-500,,1,8
18301,city_23,0.899,Male,Has relevent experience,no_enrollment,High School,,4,<10,Early Stage Startup,never,45
13306,city_75,0.939,Male,No relevent experience,no_enrollment,Graduate,STEM,3,,,2,56
3515,city_103,0.92,,No relevent experience,Full time course,,,5,10/49,,4,48
12629,city_16,0.91,,Has relevent experience,no_enrollment,Graduate,STEM,6,1000-4999,Pvt Ltd,2,140
1273,city_102,0.804,Male,Has relevent experience,no_enrollment,Masters,STEM,5,,,1,62
16856,city_103,0.92,Male,Has relevent experience,no_enrollment,Graduate,STEM,10,10000+,Pvt Ltd,1,52
2248,city_89,0.925,Male,Has relevent experience,no_enrollment,Graduate,STEM,>20,1000-4999,Pvt Ltd,1,86
11749,city_136,0.897,,No relevent experience,Full time course,High School,,5,,,never,18
8158,city_138,0.836,,Has relevent experience,no_enrollment,Masters,STEM,11,,,never,144
15613,city_103,0.92,Male,Has relevent experience,no_enrollment,Graduate,STEM,10,5000-9999,Pvt Ltd,2,47
470,city_16,0.91,Male,Has relevent experience,no_enrollment,Phd,STEM,15,10000+,Pvt Ltd,1,58
9142,city_21,0.624,,Has relevent experience,no_enrollment,High School,,9,50-99,Pvt Ltd,>4,6
8433,city_21,0.624,,Has relevent experience,no_enrollment,Masters,STEM,6,10/49,Pvt Ltd,1,18
10946,city_100,0.887,Male,Has relevent experience,Part time course,Phd,STEM,>20,,,>4,41
3200,city_103,0.92,Male,Has relevent experience,no_enrollment,Graduate,STEM,15,10000+,Pvt Ltd,1,8
2758,city_103,0.92,Male,Has relevent experience,no_enrollment,Graduate,Humanities,1,10000+,Pvt Ltd,1,25
5571,city_75,0.939,Male,Has relevent experience,no_enrollment,Graduate,STEM,16,10000+,Pvt Ltd,3,28
14677,city_16,0.91,Female,Has relevent experience,no_enrollment,Masters,STEM,4,10/49,Funded Startup,2,65
18688,city_114,0.926,Male,Has relevent experience,no_enrollment,High School,,5,<10,Pvt Ltd,never,6
13741,city_103,0.92,Male,Has relevent experience,Part time course,Graduate,STEM,9,50-99,Pvt Ltd,3,56
1691,city_136,0.897,Male,No relevent experience,no_enrollment,Masters,STEM,12,10/49,Funded Startup,2,14
11889,city_50,0.8959999999999999,Male,No relevent experience,no_enrollment,Primary School,,3,,,never,103
17096,city_103,0.92,Other,No relevent experience,Full time course,Graduate,Humanities,3,,,1,14
17327,city_16,0.91,Male,Has relevent experience,no_enrollment,Graduate,STEM,>20,50-99,Pvt Ltd,1,72
14824,city_102,0.804,Female,Has relevent experience,Part time course,High School,,3,,,1,2
584,city_24,0.698,Female,No relevent experience,no_enrollment,Masters,STEM,7,,,1,98
11748,city_103,0.92,,Has relevent experience,no_enrollment,Graduate,Other,13,10000+,Pvt Ltd,1,34
9667,city_16,0.91,Male,Has relevent experience,no_enrollment,Graduate,STEM,9,50-99,Pvt Ltd,1,9
1090,city_114,0.926,Female,No relevent experience,Part time course,Graduate,STEM,5,10000+,Pvt Ltd,1,10
600,city_16,0.91,Male,No relevent experience,Full time course,Graduate,STEM,<1,,,1,44
9220,city_103,0.92,,Has relevent experience,no_enrollment,Masters,STEM,>20,10000+,Pvt Ltd,2,54
2503,city_61,0.913,Male,Has relevent experience,no_enrollment,Masters,STEM,>20,<10,Pvt Ltd,>4,80
6842,city_160,0.92,Male,Has relevent experience,no_enrollment,Graduate,STEM,14,50-99,Pvt Ltd,1,48
5676,city_103,0.92,Male,Has relevent experience,no_enrollment,Graduate,STEM,16,50-99,Funded Startup,2,7
14897,city_128,0.527,Male,Has relevent experience,no_enrollment,Graduate,STEM,14,<10,Pvt Ltd,2,114
9441,city_103,0.92,Male,No relevent experience,no_enrollment,Graduate,STEM,20,10000+,NGO,>4,28
4797,city_90,0.698,Female,No relevent experience,Full time course,Graduate,STEM,2,,Pvt Ltd,never,42
4990,city_21,0.624,Male,Has relevent experience,no_enrollment,Graduate,STEM,5,<10,Pvt Ltd,never,102
17006,city_21,0.624,,No relevent experience,Full time course,High School,,2,,,never,116
12376,city_1,0.847,Male,Has relevent experience,no_enrollment,Graduate,STEM,8,<10,Pvt Ltd,4,9
6009,city_103,0.92,Male,Has relevent experience,no_enrollment,Masters,STEM,>20,,,>4,136
6579,city_114,0.926,Male,No relevent experience,no_enrollment,High School,,2,1000-4999,Pvt Ltd,never,35
11411,city_16,0.91,Male,Has relevent experience,no_enrollment,Masters,STEM,>20,5000-9999,Pvt Ltd,4,51
7085,city_115,0.789,Male,Has relevent experience,no_enrollment,Graduate,STEM,<1,,,2,107
14873,city_103,0.92,Male,Has relevent experience,no_enrollment,Graduate,STEM,14,1000-4999,Pvt Ltd,1,11
18136,city_21,0.624,Male,Has relevent experience,no_enrollment,Graduate,STEM,4,100-500,NGO,1,26
701,city_173,0.878,Male,No relevent experience,Full time course,Masters,Humanities,9,100-500,Public Sector,2,56
13607,city_103,0.92,Male,Has relevent experience,no_enrollment,Masters,Business Degree,3,100-500,Pvt Ltd,2,29
3772,city_103,0.92,Male,Has relevent experience,no_enrollment,Graduate,STEM,17,10000+,Pvt Ltd,>4,94
14901,city_128,0.527,Female,Has relevent experience,no_enrollment,Masters,STEM,9,10/49,Early Stage Startup,1,58
633,city_103,0.92,Male,Has relevent experience,Full time course,Masters,STEM,8,10/49,Funded Startup,1,38
12599,city_103,0.92,Male,Has relevent experience,no_enrollment,Masters,STEM,14,5000-9999,Pvt Ltd,3,55
15542,city_103,0.92,Male,Has relevent experience,no_enrollment,Graduate,STEM,>20,500-999,NGO,2,4
13773,city_102,0.804,,No relevent experience,Full time course,Graduate,STEM,3,5000-9999,Pvt Ltd,2,108
14992,city_21,0.624,Male,No relevent experience,Full time course,High School,,6,,,never,21
9363,city_16,0.91,,No relevent experience,no_enrollment,High School,,1,,,never,9
18667,city_89,0.925,Male,No relevent experience,no_enrollment,Masters,STEM,13,100-500,Funded Startup,1,292
1678,city_114,0.926,,No relevent experience,Full time course,High School,,3,,,2,122
13945,city_21,0.624,Male,No relevent experience,no_enrollment,High School,,<1,,,never,91
4825,city_16,0.91,,No relevent experience,no_enrollment,High School,,5,,,never,111
12476,city_136,0.897,Male,Has relevent experience,no_enrollment,Masters,STEM,11,500-999,,1,166
6053,city_103,0.92,Female,Has relevent experience,no_enrollment,Graduate,Arts,>20,50-99,Pvt Ltd,2,100
6155,city_103,0.92,Male,No relevent experience,no_enrollment,High School,,4,,,never,29
16701,city_103,0.92,Female,Has relevent experience,no_enrollment,Graduate,STEM,15,50-99,Pvt Ltd,1,51
11150,city_74,0.579,Male,Has relevent experience,no_enrollment,Graduate,STEM,11,,,1,34
9509,city_103,0.92,Male,Has relevent experience,no_enrollment,Graduate,Humanities,11,,Pvt Ltd,3,48
2113,city_61,0.913,Male,Has relevent experience,no_enrollment,Graduate,STEM,15,<10,Pvt Ltd,3,9
12282,city_103,0.92,Female,Has relevent experience,no_enrollment,Graduate,Humanities,4,10000+,Pvt Ltd,1,276
3396,city_54,0.856,Male,No relevent experience,no_enrollment,Masters,STEM,9,100-500,Pvt Ltd,1,119
7898,city_97,0.925,Male,Has relevent experience,no_enrollment,Masters,STEM,14,<10,Pvt Ltd,1,138
10954,city_21,0.624,,No relevent experience,Full time course,Graduate,STEM,2,,,never,50
2509,city_73,0.754,Male,Has relevent experience,no_enrollment,Graduate,STEM,9,100-500,Pvt Ltd,1,96
1381,city_160,0.92,Male,No relevent experience,Full time course,Graduate,STEM,>20,100-500,Pvt Ltd,1,4
995,city_21,0.624,,Has relevent experience,Full time course,Graduate,STEM,<1,500-999,Pvt Ltd,1,22
11522,city_103,0.92,Male,Has relevent experience,no_enrollment,Graduate,No Major,>20,100-500,Pvt Ltd,1,20
18902,city_144,0.84,Male,No relevent experience,Part time course,Graduate,Other,19,10/49,Pvt Ltd,>4,94
564,city_21,0.624,Male,Has relevent experience,no_enrollment,Graduate,STEM,11,50-99,Pvt Ltd,1,4
10177,city_21,0.624,Male,Has relevent experience,no_enrollment,Graduate,STEM,10,10000+,Pvt Ltd,2,9
10518,city_67,0.855,Male,Has relevent experience,no_enrollment,Masters,STEM,>20,100-500,Funded Startup,>4,66
1863,city_90,0.698,Male,No relevent experience,Full time course,Graduate,STEM,<1,,,1,74
1312,city_13,0.8270000000000001,Male,Has relevent experience,no_enrollment,Masters,STEM,20,10/49,Early Stage Startup,1,22
17581,city_64,0.6659999999999999,Male,Has relevent experience,no_enrollment,Graduate,STEM,14,50-99,Pvt Ltd,>4,248
18898,city_103,0.92,,Has relevent experience,no_enrollment,Masters,Business Degree,15,10000+,Pvt Ltd,>4,6
18654,city_16,0.91,,Has relevent experience,,,,15,,,never,9
3471,city_103,0.92,Male,Has relevent experience,no_enrollment,Masters,STEM,14,10000+,Pvt Ltd,4,31
13757,city_103,0.92,Male,Has relevent experience,no_enrollment,Masters,STEM,>20,,,>4,96
11960,city_175,0.7759999999999999,Male,No relevent experience,Full time course,Graduate,STEM,3,100-500,Pvt Ltd,1,41
11792,city_21,0.624,Male,No relevent experience,no_enrollment,Masters,STEM,5,100-500,Funded Startup,1,31
8256,city_103,0.92,Male,Has relevent experience,no_enrollment,Graduate,Arts,<1,10/49,Early Stage Startup,1,33
11396,city_160,0.92,Male,Has relevent experience,no_enrollment,High School,,>20,100-500,Pvt Ltd,2,18
4044,city_75,0.939,Male,Has relevent experience,no_enrollment,Masters,STEM,18,100-500,Pvt Ltd,1,20
16595,city_21,0.624,,Has relevent experience,Full time course,Graduate,STEM,8,,,never,30
10680,city_70,0.698,,Has relevent experience,Full time course,Graduate,STEM,5,10/49,Pvt Ltd,2,46
1727,city_103,0.92,Male,Has relevent experience,no_enrollment,Graduate,STEM,7,10000+,Pvt Ltd,4,16
2329,city_74,0.579,,Has relevent experience,no_enrollment,High School,,<1,,,never,160
10217,city_103,0.92,Male,Has relevent experience,no_enrollment,Graduate,STEM,9,5000-9999,Public Sector,2,78
14264,city_21,0.624,,Has relevent experience,Full time course,Graduate,STEM,9,,Pvt Ltd,2,8
4365,city_16,0.91,,No relevent experience,no_enrollment,High School,,5,,,never,57
2456,city_71,0.884,Male,Has relevent experience,no_enrollment,Masters,STEM,14,50-99,Pvt Ltd,>4,10
18210,city_138,0.836,Male,Has relevent experience,Full time course,High School,,9,50-99,Pvt Ltd,1,58
5963,city_67,0.855,Male,Has relevent experience,,Graduate,STEM,14,50-99,Pvt Ltd,2,27
5776,city_11,0.55,Male,Has relevent experience,no_enrollment,Graduate,STEM,10,<10,Pvt Ltd,never,50
14908,city_114,0.926,Female,Has relevent experience,no_enrollment,Graduate,STEM,15,<10,Funded Startup,1,53
7981,city_75,0.939,Male,Has relevent experience,no_enrollment,Graduate,STEM,>20,100-500,Pvt Ltd,>4,39
14576,city_21,0.624,Male,Has relevent experience,,Masters,STEM,9,50-99,Funded Startup,1,23
4962,city_114,0.926,Male,Has relevent experience,no_enrollment,Masters,STEM,3,100-500,Funded Startup,1,19
1801,city_103,0.92,Male,No relevent experience,Full time course,Graduate,STEM,5,,,1,16
10373,city_21,0.624,Male,Has relevent experience,Full time course,Masters,STEM,<1,50-99,Pvt Ltd,>4,78
17364,city_102,0.804,Male,Has relevent experience,no_enrollment,Graduate,STEM,>20,50-99,Pvt Ltd,1,37
9279,city_79,0.698,,No relevent experience,Full time course,Masters,STEM,16,,,2,12
1399,city_21,0.624,,No relevent experience,Full time course,High School,,3,,,never,145
16682,city_104,0.924,,No relevent experience,Full time course,Graduate,STEM,2,,,,34
1272,city_11,0.55,,Has relevent experience,no_enrollment,Graduate,STEM,7,50-99,Pvt Ltd,1,81
1700,city_21,0.624,Female,Has relevent experience,Full time course,Graduate,STEM,6,50-99,Pvt Ltd,3,59
2914,city_67,0.855,,Has relevent experience,,Masters,STEM,11,100-500,Pvt Ltd,>4,10
4242,city_91,0.691,Other,No relevent experience,Full time course,High School,,3,,,1,151
10021,city_136,0.897,Male,Has relevent experience,no_enrollment,Masters,STEM,11,50-99,Pvt Ltd,2,12
13370,city_57,0.866,Male,No relevent experience,no_enrollment,Graduate,STEM,11,,,>4,45
11070,city_114,0.926,Male,Has relevent experience,no_enrollment,Graduate,STEM,11,10/49,Pvt Ltd,2,11
13658,city_16,0.91,,Has relevent experience,no_enrollment,Masters,STEM,>20,5000-9999,Pvt Ltd,>4,11
2548,city_43,0.516,Male,Has relevent experience,no_enrollment,Graduate,STEM,13,<10,Early Stage Startup,>4,36
16457,city_21,0.624,Male,No relevent experience,no_enrollment,Graduate,STEM,5,10/49,,1,32
17916,city_173,0.878,Male,Has relevent experience,Full time course,Graduate,STEM,10,,,4,53
4442,city_71,0.884,Male,No relevent experience,no_enrollment,Masters,STEM,6,10/49,Pvt Ltd,3,6
15118,city_101,0.5579999999999999,,No relevent experience,no_enrollment,Graduate,STEM,1,,,1,234
983,city_36,0.893,Male,Has relevent experience,no_enrollment,Masters,STEM,8,10000+,Pvt Ltd,never,17
14433,city_21,0.624,Male,Has relevent experience,no_enrollment,Masters,STEM,3,10/49,Pvt Ltd,1,4
16447,city_114,0.926,Male,Has relevent experience,no_enrollment,High School,,10,50-99,Pvt Ltd,1,109
7289,city_76,0.698,Male,No relevent experience,Full time course,Graduate,STEM,2,,,1,107
4164,city_57,0.866,Male,Has relevent experience,no_enrollment,Phd,STEM,>20,100-500,NGO,>4,116
3709,city_54,0.856,,Has relevent experience,no_enrollment,Graduate,STEM,5,50-99,Pvt Ltd,never,100
6474,city_21,0.624,,No relevent experience,no_enrollment,High School,,6,,,>4,17
9633,city_103,0.92,Male,Has relevent experience,no_enrollment,Graduate,STEM,5,100-500,Pvt Ltd,2,90
10716,city_173,0.878,Male,Has relevent experience,no_enrollment,High School,,10,<10,Pvt Ltd,never,51
2164,city_21,0.624,,Has relevent experience,Full time course,Graduate,Other,>20,50-99,Pvt Ltd,>4,47
8717,city_30,0.698,Male,Has relevent experience,no_enrollment,Masters,STEM,9,100-500,Pvt Ltd,never,47
15921,city_64,0.6659999999999999,Male,Has relevent experience,no_enrollment,Graduate,STEM,14,50-99,Pvt Ltd,1,26
9618,city_101,0.5579999999999999,,Has relevent experience,no_enrollment,Graduate,STEM,1,50-99,Pvt Ltd,1,33
5494,city_28,0.939,Male,No relevent experience,no_enrollment,Graduate,STEM,2,10000+,Pvt Ltd,1,40
6828,city_21,0.624,Male,No relevent experience,Full time course,Graduate,STEM,2,<10,Pvt Ltd,1,46
10300,city_128,0.527,Male,No relevent experience,no_enrollment,Graduate,Other,3,,,never,28
1337,city_115,0.789,Male,No relevent experience,Full time course,Graduate,STEM,3,50-99,Pvt Ltd,1,46
2540,city_78,0.579,,No relevent experience,no_enrollment,High School,,2,,,1,20
88,city_152,0.698,Male,No relevent experience,Full time course,Masters,STEM,11,,Public Sector,2,42
18368,city_157,0.769,Male,Has relevent experience,no_enrollment,Masters,STEM,16,,,3,33
17487,city_24,0.698,Male,Has relevent experience,Full time course,Graduate,STEM,6,10/49,Pvt Ltd,2,100
16780,city_152,0.698,Male,Has relevent experience,Part time course,Masters,STEM,10,,,3,18
8988,city_103,0.92,Male,Has relevent experience,no_enrollment,Graduate,STEM,8,5000-9999,Pvt Ltd,1,22
17102,city_136,0.897,Male,Has relevent experience,no_enrollment,Phd,STEM,>20,100-500,Public Sector,>4,55
16330,city_71,0.884,,Has relevent experience,,,,>20,,Public Sector,>4,38
12704,city_114,0.926,Male,Has relevent experience,no_enrollment,Graduate,STEM,7,50-99,Pvt Ltd,1,106
12160,city_160,0.92,Male,No relevent experience,no_enrollment,Phd,STEM,19,5000-9999,Public Sector,3,250
5913,city_103,0.92,Male,No relevent experience,no_enrollment,Graduate,STEM,7,,,1,5
6259,city_138,0.836,Male,Has relevent experience,no_enrollment,Masters,STEM,19,100-500,NGO,1,14
8401,city_103,0.92,,No relevent experience,Full time course,Graduate,Arts,3,,,,41
10826,city_21,0.624,Male,Has relevent experience,Full time course,Masters,STEM,4,100-500,Pvt Ltd,1,12
8308,city_103,0.92,Female,Has relevent experience,no_enrollment,Graduate,STEM,16,50-99,Pvt Ltd,4,26
7857,city_61,0.913,Male,No relevent experience,Full time course,Masters,STEM,4,,,1,23
12082,city_74,0.579,Male,Has relevent experience,no_enrollment,Graduate,STEM,6,100-500,Pvt Ltd,2,17
9428,city_21,0.624,Male,Has relevent experience,Part time course,Graduate,STEM,7,10000+,Pvt Ltd,3,204
6363,city_114,0.926,,No relevent experience,Full time course,Graduate,STEM,5,10000+,Pvt Ltd,1,8
13192,city_71,0.884,,Has relevent experience,no_enrollment,Graduate,STEM,7,1000-4999,Pvt Ltd,1,6
14198,city_103,0.92,Male,Has relevent experience,no_enrollment,Graduate,STEM,>20,100-500,Pvt Ltd,3,155
15958,city_104,0.924,Male,No relevent experience,Full time course,Graduate,STEM,9,100-500,,1,44
12598,city_136,0.897,Male,Has relevent experience,no_enrollment,Masters,STEM,16,<10,Pvt Ltd,>4,15
4059,city_65,0.802,Male,Has relevent experience,Full time course,Graduate,STEM,2,10/49,Pvt Ltd,2,50
18061,city_40,0.7759999999999999,Male,No relevent experience,Full time course,Graduate,STEM,<1,,,1,127
9275,city_16,0.91,,No relevent experience,no_enrollment,High School,,<1,,,>4,57
11446,city_71,0.884,Male,No relevent experience,Full time course,Graduate,STEM,6,,Pvt Ltd,never,128
3984,city_114,0.926,Male,Has relevent experience,no_enrollment,Masters,STEM,>20,50-99,Pvt Ltd,>4,18
5879,city_162,0.767,Male,Has relevent experience,no_enrollment,Graduate,STEM,17,,,1,55
1254,city_45,0.89,Male,Has relevent experience,no_enrollment,Masters,STEM,>20,,,1,30
6035,city_114,0.926,Other,Has relevent experience,Part time course,High School,,3,1000-4999,Pvt Ltd,never,34
18444,city_104,0.924,Male,No relevent experience,no_enrollment,Graduate,STEM,3,,,>4,34
5733,city_21,0.624,Male,Has relevent experience,no_enrollment,Masters,STEM,9,,,1,26
18959,city_149,0.6890000000000001,Male,No relevent experience,Full time course,Graduate,STEM,2,,,never,44
4462,city_83,0.923,Male,Has relevent experience,no_enrollment,Masters,Humanities,13,1000-4999,Pvt Ltd,1,46
